Country,Region/State,"Zip/Postal Code","Weight (and above)","Shipping Price"
GUM,*,*,0.5000,30652.0000
GUY,*,*,0.0000,27130.0000
GUY,*,*,0.5000,30652.0000
HKG,*,*,0.0000,21754.0000
HKG,*,*,0.5000,24959.0000
HND,*,*,0.0000,27130.0000
HND,*,*,0.5000,30652.0000
HRV,*,*,0.0000,19664.0000
HRV,*,*,0.5000,22829.0000
HTI,*,*,0.0000,27130.0000
HTI,*,*,0.5000,30652.0000
HUN,*,*,0.0000,19664.0000
HUN,*,*,0.5000,22829.0000
IDN,*,*,0.0000,21754.0000
IDN,*,*,0.5000,24959.0000
IND,*,*,0.0000,21754.0000
IND,*,*,0.5000,24959.0000
IRL,*,*,0.0000,13864.0000
IRL,*,*,0.5000,16318.0000
IRQ,*,*,0.0000,19664.0000
IRQ,*,*,0.5000,22829.0000
ISR,*,*,0.0000,19664.0000
ISR,*,*,0.5000,22829.0000
JAM,*,*,0.0000,27130.0000
JAM,*,*,0.5000,30652.0000
JOR,*,*,0.0000,19664.0000
JOR,*,*,0.5000,22829.0000
JPN,*,*,0.0000,21754.0000
JPN,*,*,0.5000,24959.0000
KAZ,*,*,0.0000,19664.0000
KAZ,*,*,0.5000,22829.0000
KEN,*,*,0.0000,19602.0000
KEN,*,*,0.5000,22617.0000
KGZ,*,*,0.0000,19664.0000
KGZ,*,*,0.5000,22829.0000
KHM,*,*,0.0000,21754.0000
KHM,*,*,0.5000,24959.0000
KOR,*,*,0.0000,21754.0000
KOR,*,*,0.5000,24959.0000
KWT,*,*,0.0000,19664.0000
KWT,*,*,0.5000,22829.0000
LAO,*,*,0.0000,21754.0000
LAO,*,*,0.5000,24959.0000
LBN,*,*,0.0000,19664.0000
LBN,*,*,0.5000,22829.0000
LBR,*,*,0.0000,13754.0000
LBR,*,*,0.5000,15891.0000
LBY,*,*,0.0000,19664.0000
LBY,*,*,0.5000,22829.0000
LCA,*,*,0.0000,27130.0000
LCA,*,*,0.5000,30652.0000
LKA,*,*,0.0000,21754.0000
LKA,*,*,0.5000,24959.0000
LSO,*,*,0.0000,19602.0000
LSO,*,*,0.5000,22617.0000
LTU,*,*,0.0000,19664.0000
LTU,*,*,0.5000,22829.0000
LVA,*,*,0.0000,19664.0000
LVA,*,*,0.5000,22829.0000
MAC,*,*,0.0000,21754.0000
MAC,*,*,0.5000,24959.0000
MAF,*,*,0.0000,27130.0000
MAF,*,*,0.5000,30652.0000
MAR,*,*,0.0000,19602.0000
MAR,*,*,0.5000,22617.0000
MDA,*,*,0.0000,19664.0000
MDA,*,*,0.5000,22829.0000
MDG,*,*,0.0000,19602.0000
MDG,*,*,0.5000,22617.0000
MEX,*,*,0.0000,16409.0000
MEX,*,*,0.5000,19053.0000
MLI,*,*,0.0000,13754.0000
MLI,*,*,0.5000,15891.0000
MNE,*,*,0.0000,19664.0000
MNE,*,*,0.5000,22829.0000
MNG,*,*,0.0000,21754.0000
MNG,*,*,0.5000,24959.0000
MNP,*,*,0.0000,27130.0000
MNP,*,*,0.5000,30652.0000
MOZ,*,*,0.0000,19602.0000
MOZ,*,*,0.5000,22617.0000
MRT,*,*,0.0000,13754.0000
MRT,*,*,0.5000,15891.0000
MSR,*,*,0.0000,27130.0000
MSR,*,*,0.5000,30652.0000
MTQ,*,*,0.0000,27130.0000
MTQ,*,*,0.5000,30652.0000
MUS,*,*,0.0000,19602.0000
MUS,*,*,0.5000,22617.0000
MWI,*,*,0.0000,19602.0000
MWI,*,*,0.5000,22617.0000
MYS,*,*,0.0000,21754.0000
MYS,*,*,0.5000,24959.0000
MYT,*,*,0.0000,19602.0000
MYT,*,*,0.5000,22617.0000
NAM,*,*,0.0000,19602.0000
NAM,*,*,0.5000,22617.0000
NCL,*,*,0.0000,27130.0000
NCL,*,*,0.5000,30652.0000
NER,*,*,0.0000,13754.0000
NER,*,*,0.5000,15891.0000
NGA,*,*,0.0000,2000.0000
NGA,*,*,0.5000,2450.0000
NGA,AB,*,0.0000,2000.0000
NGA,AB,*,0.5000,2450.0000
NGA,AD,*,0.0000,2700.0000
NGA,AD,*,0.5000,3400.0000
NGA,AK,*,0.0000,2000.0000
NGA,AK,*,0.5000,2450.0000
NGA,AN,*,0.0000,2000.0000
NGA,AN,*,0.5000,2450.0000
NGA,BC,*,0.0000,2700.0000
NGA,BC,*,0.5000,3400.0000
NGA,BN,*,0.0000,2700.0000
NGA,BN,*,0.5000,3400.0000
NGA,BO,*,0.0000,2700.0000
NGA,BO,*,0.5000,3400.0000
NGA,BY,*,0.0000,2700.0000
NGA,BY,*,0.5000,3400.0000
NGA,CR,*,0.0000,2000.0000
NGA,CR,*,0.5000,2450.0000
NGA,CT,*,0.0000,2000.0000
NGA,CT,*,0.5000,2450.0000
NGA,DE,*,0.0000,2000.0000
NGA,DE,*,0.5000,2450.0000
NGA,EB,*,0.0000,2000.0000
NGA,EB,*,0.5000,2450.0000
NGA,ED,*,0.0000,1600.0000
NGA,ED,*,0.5000,1950.0000
NGA,EK,*,0.0000,1600.0000
NGA,EK,*,0.5000,1950.0000
NGA,EN,*,0.0000,2000.0000
NGA,EN,*,0.5000,2450.0000
NGA,GO,*,0.0000,2700.0000
NGA,GO,*,0.5000,3400.0000
NGA,IM,*,0.0000,2000.0000
NGA,IM,*,0.5000,2450.0000
NGA,JI,*,0.0000,2700.0000
NGA,JI,*,0.5000,3400.0000
NGA,KD,*,0.0000,2000.0000
NGA,KD,*,0.5000,2450.0000
NGA,KE,*,0.0000,2700.0000
NGA,KE,*,0.5000,3400.0000
NGA,KN,*,0.0000,2000.0000
NGA,KN,*,0.5000,2450.0000
NGA,KO,*,0.0000,2700.0000
NGA,KO,*,0.5000,3400.0000
NGA,KT,*,0.0000,2700.0000
NGA,KT,*,0.5000,3400.0000
NGA,KW,*,0.0000,2000.0000
NGA,KW,*,0.5000,2450.0000
NGA,NA,*,0.0000,2700.0000
NGA,NA,*,0.5000,3400.0000
NGA,NI,*,0.0000,2700.0000
NGA,NI,*,0.5000,3400.0000
NGA,OG,*,0.0000,1600.0000
NGA,OG,*,0.5000,1950.0000
NGA,ONG,*,0.0000,1600.0000
NGA,ONG,*,0.5000,1950.0000
NGA,OS,*,0.0000,1600.0000
NGA,OS,*,0.5000,1950.0000
NGA,OY,*,0.0000,1600.0000
NGA,OY,*,0.5000,1950.0000
NGA,PL,*,0.0000,2000.0000
NGA,PL,*,0.5000,2450.0000
NGA,RI,*,0.0000,2000.0000
NGA,RI,*,0.5000,2450.0000
NGA,SO,*,0.0000,2700.0000
NGA,SO,*,0.5000,3400.0000
NGA,TA,*,0.0000,2700.0000
